company,sector,issue_size,fresh_vs_ofs_ratio,price_band,sub_retail,sub_nii,sub_qib,sub_overall,gmp_trend,actual_listing_gain_pct,source_url,listing_gain_bucket,data_source,is_sme,listing_date,anchor_allocation_pct,relative_issue_size,gmp_trajectory,market_regime_nifty_30d
CLN Energy Limited,Other,72.3,0.5,250.0,6272400.0,3529200.0,587400.0,10389000.0,flat,0.0,https://www.chittorgarh.com/ipo/cln-energy-ipo/1972/,flat,real_scraped,False,2021-08-27,11.59,2.77,0.01,-4.39
Music Broadcast Ltd,Other,488.53,0.5,333.0,51728400.0,0.0,118477260.0,415821285.0,flat,0.0,https://www.chittorgarh.com/ipo/music-broadcast-ipo/623/,flat,real_scraped,False,2021-09-04,10.07,2.37,0.04,5.99
India Pesticides Limited,Other,800.0,0.5,296.0,109128600.0,0.0,236961400.0,560748250.0,flat,0.0,https://www.chittorgarh.com/ipo/india-pesticides-ipo/1119/,flat,real_scraped,False,2021-09-16,31.07,1.98,-0.06,-4.84
Indian Phosphate Limited,Other,67.36,0.5,99.0,547089600.0,425486400.0,233589600.0,1206165600.0,flat,0.0,https://www.chittorgarh.com/ipo/indian-phosphate-ipo/1815/,flat,real_scraped,False,2021-09-30,30.71,1.39,-0.05,-4.78
Capacit'e Infraprojects Limited,Infrastructure,400.0,0.5,250.0,100425660.0,0.0,428798880.0,2091789300.0,flat,0.0,https://www.chittorgarh.com/ipo/capacite-infra-ipo/711/,flat,real_scraped,True,2021-10-04,26.07,2.31,-0.03,-2.16
Hariom Pipe Industries Limited,Other,130.05,0.5,153.0,36149848.0,0.0,4875598.0,67404596.0,flat,0.0,https://www.chittorgarh.com/ipo/hariom-pipe-industries-ipo/1240/,flat,real_scraped,False,2021-10-15,22.3,1.87,-0.02,2.83
AGS Transact Technologies Ltd,Technology,680.0,0.5,175.0,44148575.0,0.0,21942750.0,223474265.0,flat,0.0,https://www.chittorgarh.com/ipo/ags-transact-ipo/1209/,flat,real_scraped,False,2021-10-24,18.02,1.02,0.02,2.55
Wise Travel India Limited,Other,94.68,0.5,147.0,226649000.0,335748000.0,127065000.0,689462000.0,flat,0.0,https://www.chittorgarh.com/ipo/wti-cabs-ipo/1639/,flat,real_scraped,False,2021-10-27,17.27,2.41,0.07,-2.24
Platinum Industries Limited,Other,235.32,0.5,171.0,245242038.0,0.0,415616400.0,953546622.0,flat,0.0,https://www.chittorgarh.com/ipo/platinum-industries-ipo/1638/,flat,real_scraped,False,2021-11-01,31.15,0.72,-0.07,0.47
Gopal Snacks Limited,Other,650.0,0.5,401.0,23819379.0,0.0,59389588.0,108083438.0,flat,0.0,https://www.chittorgarh.com/ipo/gopal-namkeen-ipo/1667/,flat,real_scraped,False,2021-11-15,15.98,2.94,-0.07,-0.91
Healthcare Tech 47,Healthcare,189.54,0.74,386.59,34.61,29.01,134.73,84.67,rising,74.22,https://ipowatch.in/healthcare-tech-47-ipo,high,synthetic_interpolated,False,2021-11-22,41.85,1.76,2.36,7.27
Healthcare Corp 92,Healthcare,1273.4,0.23,576.51,2.12,38.17,90.46,46.29,rising,52.86,https://ipowatch.in/healthcare-corp-92-ipo,high,synthetic_interpolated,True,2021-12-04,36.62,1.74,0.34,1.66
Healthcare Corp 18,Healthcare,1431.01,0.38,459.62,25.58,16.46,57.32,41.45,rising,111.22,https://ipowatch.in/healthcare-corp-18-ipo,high,synthetic_interpolated,False,2021-12-11,35.62,2.5,1.89,3.88
Healthcare Ventures 48,Healthcare,622.78,0.21,433.9,20.3,29.06,54.0,37.15,rising,105.77,https://ipowatch.in/healthcare-ventures-48-ipo,high,synthetic_interpolated,True,2021-12-18,38.7,1.85,4.67,7.83
Healthcare Ventures 39,Healthcare,1185.19,0.6,203.47,36.76,20.73,40.33,38.55,rising,106.97,https://ipowatch.in/healthcare-ventures-39-ipo,high,synthetic_interpolated,False,2021-12-23,21.74,2.94,0.2,0.59
Healthcare Ventures 87,Healthcare,487.53,0.52,172.62,40.7,15.48,121.88,81.29,rising,68.6,https://ipowatch.in/healthcare-ventures-87-ipo,high,synthetic_interpolated,False,2022-01-02,38.16,2.64,3.17,-0.67
Healthcare Corp 72,Healthcare,1242.68,0.85,645.64,44.82,16.58,100.02,72.42,rising,68.92,https://ipowatch.in/healthcare-corp-72-ipo,high,synthetic_interpolated,False,2022-01-13,12.75,1.86,2.4,-4.51
FMCG Holdings 53,FMCG,675.85,0.49,114.7,17.05,35.2,17.83,17.44,rising,40.42,https://ipowatch.in/fmcg-holdings-53-ipo,high,synthetic_interpolated,False,2022-01-23,20.13,0.71,0.69,4.97
FMCG Ventures 89,FMCG,916.58,0.61,725.78,19.2,29.6,43.24,31.22,rising,96.27,https://ipowatch.in/fmcg-ventures-89-ipo,high,synthetic_interpolated,True,2022-01-27,38.51,0.78,2.74,0.85
FMCG Enterprises 80,FMCG,631.27,0.89,406.39,4.63,7.4,142.12,73.38,rising,98.18,https://ipowatch.in/fmcg-enterprises-80-ipo,high,synthetic_interpolated,False,2022-02-02,40.49,1.72,3.63,0.72
FMCG Enterprises 35,FMCG,362.25,0.5,242.4,6.95,27.42,112.62,59.79,rising,86.2,https://ipowatch.in/fmcg-enterprises-35-ipo,high,synthetic_interpolated,False,2022-02-08,15.8,2.45,2.31,4.34
FMCG Tech 78,FMCG,1480.53,0.23,460.87,16.18,9.31,128.67,72.42,rising,96.77,https://ipowatch.in/fmcg-tech-78-ipo,high,synthetic_interpolated,False,2022-02-20,33.21,1.0,4.58,7.29
FMCG Enterprises 14,FMCG,813.6,0.19,361.79,41.34,39.73,86.59,63.97,flat,16.05,https://ipowatch.in/fmcg-enterprises-14-ipo,moderate,synthetic_interpolated,False,2022-02-27,33.06,1.17,0.04,6.25
IT Tech 83,IT Services,1230.09,0.99,658.09,20.16,4.13,145.37,82.77,rising,67.57,https://ipowatch.in/it-tech-83-ipo,high,synthetic_interpolated,False,2022-03-04,22.26,1.33,3.07,3.47
IT Tech 77,IT Services,327.77,0.68,187.92,39.46,0.61,11.38,25.42,rising,43.12,https://ipowatch.in/it-tech-77-ipo,high,synthetic_interpolated,False,2022-03-10,29.5,2.19,0.29,-4.91
IT Tech 20,IT Services,957.36,0.69,332.05,10.81,4.81,25.0,17.91,rising,56.04,https://ipowatch.in/it-tech-20-ipo,high,synthetic_interpolated,False,2022-03-16,23.25,1.28,2.39,-0.51
IT Corp 17,IT Services,496.72,0.29,185.84,23.44,36.34,95.62,59.53,rising,37.57,https://ipowatch.in/it-corp-17-ipo,moderate,synthetic_interpolated,False,2022-03-24,30.3,2.63,0.69,-2.3
IT Enterprises 53,IT Services,96.02,0.84,365.64,2.1,48.08,32.52,17.31,rising,71.59,https://ipowatch.in/it-enterprises-53-ipo,high,synthetic_interpolated,False,2022-04-05,38.56,1.43,1.67,-4.54
IT Enterprises 33,IT Services,1443.43,0.95,60.69,27.42,20.88,34.01,30.71,rising,67.33,https://ipowatch.in/it-enterprises-33-ipo,high,synthetic_interpolated,False,2022-04-14,39.34,2.09,3.62,-1.59
Renewable Enterprises 88,Renewable Energy,682.83,0.51,521.99,34.78,43.97,132.47,83.62,rising,63.21,https://ipowatch.in/renewable-enterprises-88-ipo,high,synthetic_interpolated,True,2022-04-20,20.59,1.26,1.8,-2.29
Renewable Enterprises 72,Renewable Energy,1223.48,0.93,751.22,27.17,24.31,40.68,33.92,rising,116.25,https://ipowatch.in/renewable-enterprises-72-ipo,high,synthetic_interpolated,False,2022-04-26,30.27,0.79,0.57,0.6
Renewable Holdings 58,Renewable Energy,702.33,0.85,688.03,25.08,32.05,95.44,60.26,flat,18.17,https://ipowatch.in/renewable-holdings-58-ipo,moderate,synthetic_interpolated,True,2022-05-09,12.3,1.72,0.06,-2.08
Renewable Holdings 90,Renewable Energy,1150.8,0.43,171.96,38.75,37.25,90.41,64.58,rising,105.58,https://ipowatch.in/renewable-holdings-90-ipo,high,synthetic_interpolated,False,2022-05-21,22.73,1.51,3.38,2.32
Renewable Corp 30,Renewable Energy,920.18,0.85,163.36,46.01,34.92,76.27,61.14,rising,103.63,https://ipowatch.in/renewable-corp-30-ipo,high,synthetic_interpolated,True,2022-05-29,25.48,0.82,0.58,6.4
Renewable Corp 89,Renewable Energy,579.8,0.37,393.24,40.42,28.58,145.02,92.72,rising,85.79,https://ipowatch.in/renewable-corp-89-ipo,high,synthetic_interpolated,True,2022-06-09,14.07,2.19,1.76,7.52
Renewable Enterprises 72,Renewable Energy,1345.96,0.43,732.36,6.78,40.08,123.03,64.91,rising,98.91,https://ipowatch.in/renewable-enterprises-72-ipo,high,synthetic_interpolated,False,2022-06-14,12.94,0.76,3.1,2.08
Renewable Holdings 38,Renewable Energy,1386.86,0.85,284.19,18.31,35.14,122.45,70.38,flat,14.09,https://ipowatch.in/renewable-holdings-38-ipo,flat,synthetic_interpolated,True,2022-06-19,31.29,0.8,0.01,-4.68
Real Tech 52,Real Estate,1448.8,0.9,183.37,19.05,19.19,98.05,58.55,flat,18.25,https://ipowatch.in/real-tech-52-ipo,moderate,synthetic_interpolated,False,2022-06-29,22.3,1.97,0.01,5.81
Real Corp 52,Real Estate,631.23,0.52,249.44,16.42,29.03,44.04,30.23,rising,25.27,https://ipowatch.in/real-corp-52-ipo,moderate,synthetic_interpolated,False,2022-07-06,10.82,0.55,1.36,1.66
Real Tech 60,Real Estate,149.74,0.17,319.95,3.16,45.25,17.19,10.18,rising,55.05,https://ipowatch.in/real-tech-60-ipo,high,synthetic_interpolated,False,2022-07-20,22.32,2.17,2.01,1.66
Real Holdings 96,Real Estate,330.25,0.68,442.66,12.69,4.71,5.08,8.88,rising,24.58,https://ipowatch.in/real-holdings-96-ipo,moderate,synthetic_interpolated,False,2022-07-28,43.19,1.6,2.3,-0.93
Real Ventures 96,Real Estate,369.6,0.95,201.16,38.07,48.66,18.37,28.22,rising,114.76,https://ipowatch.in/real-ventures-96-ipo,high,synthetic_interpolated,True,2022-08-06,37.07,2.02,4.1,3.54
Automotive Enterprises 58,Automotive,1014.18,0.95,637.63,10.23,16.48,103.53,56.88,rising,47.02,https://ipowatch.in/automotive-enterprises-58-ipo,high,synthetic_interpolated,False,2022-08-17,16.89,1.74,0.51,3.69
Automotive Ventures 21,Automotive,205.28,0.38,680.42,49.96,4.82,83.81,66.89,rising,49.64,https://ipowatch.in/automotive-ventures-21-ipo,high,synthetic_interpolated,False,2022-08-28,43.77,0.71,1.58,0.38
Automotive Corp 20,Automotive,889.67,0.94,793.43,10.32,7.98,27.95,19.13,rising,93.94,https://ipowatch.in/automotive-corp-20-ipo,high,synthetic_interpolated,False,2022-09-07,19.12,1.95,2.51,6.39
Automotive Tech 90,Automotive,536.6,0.47,196.53,10.12,37.51,17.87,14.0,rising,76.64,https://ipowatch.in/automotive-tech-90-ipo,high,synthetic_interpolated,False,2022-09-18,30.34,1.61,4.67,-1.58
Automotive Enterprises 74,Automotive,342.97,0.33,220.57,42.85,33.66,75.27,59.06,rising,62.74,https://ipowatch.in/automotive-enterprises-74-ipo,high,synthetic_interpolated,False,2022-09-24,40.39,1.06,3.92,0.85
Automotive Ventures 64,Automotive,273.46,0.44,221.47,14.45,11.13,9.23,11.84,flat,18.26,https://ipowatch.in/automotive-ventures-64-ipo,moderate,synthetic_interpolated,True,2022-09-29,41.47,1.37,0.0,5.62
Automotive Corp 21,Automotive,818.76,0.64,309.93,23.17,17.73,97.67,60.42,rising,94.66,https://ipowatch.in/automotive-corp-21-ipo,high,synthetic_interpolated,False,2022-10-07,16.41,0.77,4.45,-2.12
Automotive Holdings 43,Automotive,1211.3,0.58,696.2,26.95,24.07,64.47,45.71,rising,81.33,https://ipowatch.in/automotive-holdings-43-ipo,high,synthetic_interpolated,False,2022-10-19,16.26,1.49,4.04,5.0
Automotive Ventures 47,Automotive,542.59,0.35,208.3,10.07,5.95,44.06,27.07,flat,14.25,https://ipowatch.in/automotive-ventures-47-ipo,flat,synthetic_interpolated,False,2022-10-28,22.31,2.18,0.01,-1.42
Retail Ventures 19,Retail,551.55,0.56,634.34,32.3,1.0,130.77,81.53,rising,86.11,https://ipowatch.in/retail-ventures-19-ipo,high,synthetic_interpolated,False,2022-11-01,37.27,0.81,1.07,4.17
Retail Ventures 72,Retail,1197.34,0.51,525.69,16.22,13.37,47.82,32.02,rising,41.31,https://ipowatch.in/retail-ventures-72-ipo,high,synthetic_interpolated,False,2022-11-11,14.19,0.76,1.62,5.53
Retail Corp 81,Retail,298.57,0.11,232.97,32.06,20.22,33.31,32.69,rising,119.32,https://ipowatch.in/retail-corp-81-ipo,high,synthetic_interpolated,False,2022-11-16,29.12,2.88,3.74,4.66
Retail Tech 65,Retail,1135.9,0.48,482.16,16.32,12.67,12.95,14.63,rising,58.95,https://ipowatch.in/retail-tech-65-ipo,high,synthetic_interpolated,True,2022-11-21,28.02,2.83,3.24,-2.65
Retail Holdings 17,Retail,1279.03,0.58,249.73,2.93,40.88,95.58,49.26,rising,45.98,https://ipowatch.in/retail-holdings-17-ipo,high,synthetic_interpolated,False,2022-12-04,18.04,1.04,4.46,1.95
Retail Ventures 45,Retail,1360.9,0.69,613.5,22.75,13.75,46.64,34.7,rising,51.65,https://ipowatch.in/retail-ventures-45-ipo,high,synthetic_interpolated,False,2022-12-07,21.36,1.26,1.21,5.48
Retail Tech 86,Retail,1275.38,0.48,336.86,44.13,37.22,45.51,44.82,rising,94.03,https://ipowatch.in/retail-tech-86-ipo,high,synthetic_interpolated,False,2022-12-21,31.95,1.21,4.18,-3.29
Retail Corp 42,Retail,822.2,0.23,411.77,38.37,1.47,32.48,35.42,rising,74.07,https://ipowatch.in/retail-corp-42-ipo,high,synthetic_interpolated,False,2022-12-27,21.64,2.05,2.33,-1.44
Retail Holdings 65,Retail,655.13,0.69,547.12,5.33,14.97,86.11,45.72,rising,77.38,https://ipowatch.in/retail-holdings-65-ipo,high,synthetic_interpolated,False,2022-12-30,32.88,1.01,2.81,1.71
Logistics Corp 19,Logistics,1058.48,0.57,205.86,39.61,38.43,149.85,94.73,rising,48.09,https://ipowatch.in/logistics-corp-19-ipo,high,synthetic_interpolated,False,2023-01-04,34.68,1.94,2.33,-4.4
Logistics Enterprises 19,Logistics,619.43,0.44,439.77,7.02,43.22,115.62,61.32,rising,109.68,https://ipowatch.in/logistics-enterprises-19-ipo,high,synthetic_interpolated,True,2023-01-17,41.14,2.19,4.27,4.34
Logistics Tech 25,Logistics,292.88,0.37,644.39,11.61,3.62,97.97,54.79,rising,98.9,https://ipowatch.in/logistics-tech-25-ipo,high,synthetic_interpolated,False,2023-01-21,17.74,0.87,3.24,-3.73
Logistics Corp 91,Logistics,529.85,0.39,116.41,42.55,11.54,148.09,95.32,rising,88.45,https://ipowatch.in/logistics-corp-91-ipo,high,synthetic_interpolated,True,2023-02-02,17.94,1.07,0.86,-3.75
Logistics Enterprises 26,Logistics,619.46,0.95,798.2,48.58,7.18,9.66,29.12,rising,114.51,https://ipowatch.in/logistics-enterprises-26-ipo,high,synthetic_interpolated,False,2023-02-09,36.65,2.85,0.21,-2.09
Logistics Ventures 10,Logistics,676.5,0.58,510.6,30.59,37.61,20.67,25.63,flat,17.26,https://ipowatch.in/logistics-ventures-10-ipo,moderate,synthetic_interpolated,False,2023-02-18,44.74,1.35,0.07,-2.73
Logistics Tech 33,Logistics,321.67,0.83,326.3,41.48,28.05,44.7,43.09,rising,119.54,https://ipowatch.in/logistics-tech-33-ipo,high,synthetic_interpolated,False,2023-02-24,16.1,1.5,0.81,-1.67
Logistics Corp 64,Logistics,666.41,0.6,669.28,25.78,17.58,134.0,79.89,rising,23.87,https://ipowatch.in/logistics-corp-64-ipo,moderate,synthetic_interpolated,True,2023-03-10,12.64,2.26,3.96,1.03
Logistics Corp 36,Logistics,538.78,0.93,257.27,7.46,43.55,148.85,78.16,flat,16.93,https://ipowatch.in/logistics-corp-36-ipo,moderate,synthetic_interpolated,False,2023-03-16,14.24,1.65,-0.04,6.85
Logistics Tech 83,Logistics,96.43,0.51,169.81,30.29,18.52,78.14,54.22,rising,47.0,https://ipowatch.in/logistics-tech-83-ipo,high,synthetic_interpolated,False,2023-03-20,33.88,1.28,0.31,2.59
Banking Enterprises 22,Banking,747.47,0.82,618.02,45.61,28.91,8.6,27.11,rising,36.65,https://ipowatch.in/banking-enterprises-22-ipo,moderate,synthetic_interpolated,False,2023-03-28,31.87,2.66,3.97,6.76
Banking Tech 69,Banking,537.9,0.68,72.69,13.76,8.71,51.81,32.79,flat,11.0,https://ipowatch.in/banking-tech-69-ipo,flat,synthetic_interpolated,True,2023-04-11,13.37,0.98,-0.0,-2.86
Banking Tech 70,Banking,702.48,0.76,267.07,13.87,32.63,106.06,59.97,rising,103.11,https://ipowatch.in/banking-tech-70-ipo,high,synthetic_interpolated,False,2023-04-17,14.93,2.3,1.81,-0.73
Banking Corp 70,Banking,852.36,0.49,721.25,44.01,19.5,103.29,73.65,rising,60.84,https://ipowatch.in/banking-corp-70-ipo,high,synthetic_interpolated,False,2023-04-28,14.24,0.69,4.94,7.36
Banking Corp 40,Banking,1013.51,0.57,337.4,10.47,44.48,136.62,73.55,rising,78.27,https://ipowatch.in/banking-corp-40-ipo,high,synthetic_interpolated,False,2023-05-06,27.43,1.76,3.58,2.66
Banking Holdings 28,Banking,781.03,0.98,170.06,41.76,5.86,148.2,94.98,rising,44.01,https://ipowatch.in/banking-holdings-28-ipo,high,synthetic_interpolated,False,2023-05-09,40.91,2.52,4.73,-2.72
Banking Enterprises 20,Banking,436.21,0.4,565.55,7.17,9.09,26.82,17.0,rising,43.02,https://ipowatch.in/banking-enterprises-20-ipo,high,synthetic_interpolated,False,2023-05-21,14.3,2.72,2.98,-2.0
Banking Holdings 86,Banking,1234.7,0.58,613.59,44.64,42.44,72.66,58.65,rising,43.97,https://ipowatch.in/banking-holdings-86-ipo,high,synthetic_interpolated,False,2023-05-24,33.13,2.83,1.5,5.92
Chemicals Holdings 12,Chemicals,143.59,0.32,360.04,42.49,45.04,125.05,83.77,rising,113.05,https://ipowatch.in/chemicals-holdings-12-ipo,high,synthetic_interpolated,False,2023-06-02,10.18,1.87,0.76,-2.25
Chemicals Corp 36,Chemicals,1139.36,0.42,423.53,1.2,21.78,148.19,74.69,rising,103.32,https://ipowatch.in/chemicals-corp-36-ipo,high,synthetic_interpolated,False,2023-06-13,24.87,2.93,1.52,5.29
Chemicals Enterprises 34,Chemicals,98.93,0.32,782.49,21.13,37.84,75.92,48.52,rising,118.85,https://ipowatch.in/chemicals-enterprises-34-ipo,high,synthetic_interpolated,False,2023-06-21,13.88,1.03,3.71,-1.95
Chemicals Enterprises 97,Chemicals,1099.64,0.32,156.77,11.46,3.28,135.7,73.58,rising,106.7,https://ipowatch.in/chemicals-enterprises-97-ipo,high,synthetic_interpolated,False,2023-06-30,20.21,1.41,3.34,3.48
Chemicals Corp 71,Chemicals,298.42,0.73,553.93,47.92,23.97,147.99,97.96,rising,37.08,https://ipowatch.in/chemicals-corp-71-ipo,moderate,synthetic_interpolated,True,2023-07-06,37.69,2.63,4.04,4.11
Chemicals Enterprises 95,Chemicals,870.24,0.86,693.37,32.34,4.8,117.61,74.97,rising,59.31,https://ipowatch.in/chemicals-enterprises-95-ipo,high,synthetic_interpolated,False,2023-07-19,23.41,2.1,2.87,0.29
Chemicals Holdings 19,Chemicals,566.91,0.69,53.1,6.83,33.3,38.37,22.6,rising,90.53,https://ipowatch.in/chemicals-holdings-19-ipo,high,synthetic_interpolated,False,2023-08-02,40.14,1.38,3.54,3.36
Infrastructure Enterprises 57,Infrastructure,431.76,0.47,479.2,16.05,30.78,69.08,42.56,rising,83.34,https://ipowatch.in/infrastructure-enterprises-57-ipo,high,synthetic_interpolated,False,2023-08-12,39.81,2.69,0.17,-0.07
Infrastructure Enterprises 38,Infrastructure,1022.65,0.29,260.75,2.08,35.93,24.65,13.36,falling,-13.26,https://ipowatch.in/infrastructure-enterprises-38-ipo,loss,synthetic_interpolated,True,2023-08-20,32.85,2.24,-2.45,-1.53
Infrastructure Enterprises 33,Infrastructure,759.18,0.17,71.13,14.25,26.0,10.75,12.5,rising,36.26,https://ipowatch.in/infrastructure-enterprises-33-ipo,moderate,synthetic_interpolated,False,2023-09-02,42.52,2.99,3.46,4.45
Infrastructure Corp 60,Infrastructure,139.72,0.96,668.74,25.56,17.89,43.46,34.51,rising,102.99,https://ipowatch.in/infrastructure-corp-60-ipo,high,synthetic_interpolated,False,2023-09-09,20.86,2.84,0.47,2.24
Infrastructure Holdings 76,Infrastructure,1491.41,0.72,565.31,44.02,12.25,40.64,42.33,rising,39.39,https://ipowatch.in/infrastructure-holdings-76-ipo,moderate,synthetic_interpolated,False,2023-09-22,25.79,2.1,4.54,6.77
Infrastructure Ventures 67,Infrastructure,916.04,0.92,576.98,3.26,18.22,123.64,63.45,rising,40.9,https://ipowatch.in/infrastructure-ventures-67-ipo,high,synthetic_interpolated,False,2023-10-04,33.05,2.38,0.47,-4.18
Infrastructure Holdings 49,Infrastructure,912.3,0.22,263.96,41.1,9.92,142.91,92.0,rising,96.85,https://ipowatch.in/infrastructure-holdings-49-ipo,high,synthetic_interpolated,True,2023-10-18,26.75,1.69,2.03,-0.85
Infrastructure Holdings 40,Infrastructure,384.26,0.74,686.55,33.08,38.77,6.46,19.77,rising,22.87,https://ipowatch.in/infrastructure-holdings-40-ipo,moderate,synthetic_interpolated,False,2023-10-30,22.41,0.9,4.08,4.82
Defense Corp 22,Defense,1389.81,0.39,756.99,44.8,6.09,100.81,72.81,rising,28.46,https://ipowatch.in/defense-corp-22-ipo,moderate,synthetic_interpolated,False,2023-11-08,35.09,1.88,1.98,4.52
Defense Enterprises 38,Defense,941.79,0.26,396.99,37.05,11.53,27.39,32.22,rising,100.81,https://ipowatch.in/defense-enterprises-38-ipo,high,synthetic_interpolated,False,2023-11-17,16.75,0.61,2.65,5.17
Defense Holdings 90,Defense,498.43,0.52,689.64,34.84,32.05,125.61,80.22,rising,81.05,https://ipowatch.in/defense-holdings-90-ipo,high,synthetic_interpolated,True,2023-11-28,21.26,1.2,1.97,-4.13
Defense Tech 50,Defense,381.65,0.64,343.39,1.84,17.24,53.84,27.84,rising,29.38,https://ipowatch.in/defense-tech-50-ipo,moderate,synthetic_interpolated,False,2023-12-04,28.49,1.54,4.37,-4.29
Defense Enterprises 65,Defense,633.0,0.76,119.67,30.56,42.85,146.24,88.4,rising,88.33,https://ipowatch.in/defense-enterprises-65-ipo,high,synthetic_interpolated,False,2023-12-17,12.08,0.68,3.03,-3.58
Defense Holdings 26,Defense,955.82,0.3,683.99,22.77,19.5,114.93,68.85,rising,87.93,https://ipowatch.in/defense-holdings-26-ipo,high,synthetic_interpolated,True,2023-12-30,20.96,2.29,0.43,-2.48
Defense Holdings 65,Defense,1343.34,0.94,581.85,17.07,19.77,110.66,63.86,flat,12.85,https://ipowatch.in/defense-holdings-65-ipo,flat,synthetic_interpolated,True,2024-01-06,28.0,2.34,0.05,-1.71
Defense Ventures 69,Defense,400.82,0.67,277.06,36.84,23.1,101.44,69.14,flat,19.76,https://ipowatch.in/defense-ventures-69-ipo,moderate,synthetic_interpolated,False,2024-01-16,30.59,2.07,0.06,2.21
